,Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Event Duration,Event ID,Summary
161,Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,2019-04-14,1540.0,1252.0,7.0,1,161,"Tornado outbreak and severe storms impacted many states (TX, LA, MS, AL, GA, NC, OH and PA). More than 50 tornadoes occurred across central Mississippi and Alabama causing damage to vehicles, homes and businesses. More than 25 additional tornadoes also caused damage across several eastern states from Georgia to Pennsylvania. These severe storms also delivered damaging hail and high wind damage that was widespread across many Southern and and Eastern states."
162,South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,1862.4,1514.0,0.0,6,162,"Persistent severe storms impacted numerous states from Texas to North Carolina (TX, OK, KS, AR, LA, MS, AL, NC). Tornadoes and damaging hail particularly affected Texas, Louisiana and North Carolina focused across the Raleigh metro region."
163,Central Severe Weather (May 2019),Severe Storm,2019-05-16,2019-05-18,1196.9,973.0,0.0,2,163,"Central severe storms across the Illinois, Indiana, Iowa and Texas damaged many homes, businesses and vehicles."
164,Arkansas River Flooding (June 2019),Flooding,2019-05-20,2019-06-14,3720.8,3025.0,5.0,25,164,"Historic flooding impacts the Arkansas River Basin with damage to homes, agriculture, roads, bridges and levees focused across eastern Oklahoma and western Arkansas. Thousands of homes, cars and businesses were flooded due a combination of high rivers, levee failure and persistently heavy rainfall from May 20 through June."
165,Rockies Central and Northeast Tornadoes and Severe Weather (May 2019),Severe Storm,2019-05-26,2019-05-29,5655.6,4598.0,3.0,3,165,"A four-day tornado outbreak impacts many states across the Rockies, Central and Northeast (CO, WY, NE, KS, OK, MO, IA, IL, IN, OH, PA and NJ). This outbreak produced 190 tornadoes in addition to hundreds of reports of damaging hail and straight-line thunderstorm winds. Of particular note was an EF-4 tornado that produced heavy damage near the city of Dayton, Ohio on May 27."
166,California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,2019-11-30,5535.0,4500.0,3.0,182,166,"California experienced a damaging wildfire season in 2019, largely resulting from the Kincade and Saddle Ridge wildfires. In addition, a key California electrical utility provider turned off power to millions of homes and businesses several times during days with forecasted high winds and extremely dry conditions. This step was designed to minimize wildfires, with some success, but it also caused billions of dollars in losses to those affected. Alaska also suffered a near-historic wildfire season with more than 2.5 million acres burned. These wildfire conditions were primed due to Alaska's record-breaking heat and dry conditions during the summer months. July 2019 was the warmest month ever recorded in Alaska."
167,Colorado Hail Storms (July 2019),Severe Storm,2019-07-04,2019-07-05,1239.8,1008.0,0.0,1,167,Colorado hail storms across the Denver and Fort Collins that damaged many homes and vehicles.
168,Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,1980.3,1610.0,10.0,9,168,"Category 1 hurricane makes landfall on the Outer Banks of North Carolina, after devastating the northern Bahama Islands as a historically-powerful and slow-moving hurricane. Dorian tracked offshore parallel to the Florida, Georgia and South Carolina coastline before making a North Carolina landfall, bringing a destructive sound-side surge that inundated many coastal properties and isolated residents who did not evacuate. Significant flood, severe storm, and tornado damage to many homes and businesses occurred on the Outer Banks of North Carolina. Dorian's intensification to a category 5 storm marks the fourth consecutive year, in which a maximum category 5 storm developed in the Atlantic basin - a new record. Dorian also tied the record for maximum sustained wind speed for a landfalling hurricane (185 mph) in the Atlantic, a record shared with the historic 1935 Labor Day Hurricane."
169,Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,6150.0,5000.0,5.0,4,169,"Tropical storm and its remnants cause 24 to 36 inches of rainfall over a 3-day period across a large area between Houston and Beaumont, Texas. The largest storm total, 43.39 inches, was reported at North Fork Taylors Bayou, Texas. Many thousands of homes, cars and businesses were impacted by flood water due to this extraordinarily heavy rainfall. Imelda is yet another of the historically extreme rainfall and flood events that have become a regular occurrence across Southeast Texas over the last 5 years."
170,Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2019-10-20,2113.1,1718.0,2.0,0,170,"Numerous tornadoes caused widespread damage across northern Dallas damaging thousands of homes, vehicles, businesses and other public infrastructure. Tornadoes up to EF-3 intensity with maximum winds of 140 mph tracked across a large section of highly developed northern Dallas. Additionally high winds and hail damage also caused damage in other states including Oklahoma, Missouri, Arkansas, Louisiana and Tennessee."
171,Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,1401.8,1149.0,10.0,2,171,"More than 80 tornadoes and severe storms caused damage across many southeastern states (AL, AR, GA, IL, IN, KY, LA, MS, MO, NC, OH, SC, TN, TX, VA, WI). Storms and severe flooding also impacted northern states including Michigan, Wisconsin and New York. Significant damage occurred along the shoreline of Lake Michigan to roads, the foundation of homes and to Port Milwaukee. These powerful waves were generated by high winds and a lack of seasonal ice cover."
172,South East and Northeast Severe Weather (February 2020),Severe Storm,2020-02-05,2020-02-07,1532.2,1256.0,3.0,2,172,"Severe weather across many South, East and Northeastern states including AL, FL, GA, SC, LA, MS, TN, NC, VA, PA, RI, NY, NJ, MD and MA. There were more than 20 tornadoes clustered across central Mississippi into Tennessee. There were also hundreds of high wind damage reports from Florida to New Jersey, with the Carolinas and Florida receiving the most costly damage."
173,Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-02,2020-03-04,2850.0,2336.0,25.0,2,173,"Powerful EF-3 and EF-4 tornadoes cause considerable damage across the Nashville metroplex and several counties east of Nashville. This damage included many homes, businesses, vehicles, 90 planes and numerous buildings at the Nashville airport. There was also additional hail and wind damage in the surrounding states including Alabama, Kentucky, Mississippi and Missouri."
174,Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-27,2020-03-28,3120.9,2558.0,0.0,1,174,"Severe weather caused damage across many Midwest and Ohio Valley states including Missouri, Oklahoma, Texas, Illinois, Indiana, Ohio, Arkansas, Kentucky, Tennessee, West Virginia and Pennsylvania. The states most affected from a combination of high winds and hail were Missouri, Ohio and Arkansas. There were also two dozen tornadoes across Iowa, Illinois, Indiana and Arkansas causing additional damage."
175,North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-07,2020-04-08,3543.9,2881.0,0.0,1,175,"Numerous hail storms caused widespread damage across many North Central and Ohio Valley states including Illinois, Iowa, Indiana, Ohio, Michigan, Wisconsin and Missouri. More than 20 tornadoes were also reorted across southern Indiana and Ohio. There was additional widespread high wind damage to homes, vehicles and businesses in many other surrounding states."
176,Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,4236.2,3444.0,35.0,1,176,"Outbreak of at least 140 tornadoes from Texas to Maryland including 3 EF4s, 12 EF3s, 20 EF2s, 77 EF1s and 28 EF0s. Damage was extensive and highly destructive to many homes, vehicles and businesses across more than a dozen Southeast and Eastern states."
177,Southern Severe Weather (April 2020),Severe Storm,2020-04-21,2020-04-23,1660.6,1350.0,3.0,2,177,"Severe weather caused damage across many Southern states. The states most affected from a combination of high winds, hail and tornadoes included Texas, Oklahoma, Louisiana, Mississippi, Alabama, Georgia, Florida and Virginia. The states with the highest damage totals for the event were Oklahoma, Louisiana and Texas."
178,Central Southern and Eastern Severe Weather (April 2020),Severe Storm,2020-04-27,2020-04-30,1263.3,1027.0,1.0,3,178,"Severe weather across many Central, Southern and Eastern states produced primarily large hail and high winds that caused widespread damage to many homes, vehicles and businesses. The states affected included Oklahoma, Texas, Missouri, Arkansas, Louisiana, Virginia, Pennsylvania, Maryland, Delaware and New Jersey."
179,Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-03,2020-05-05,2598.9,2113.0,2.0,2,179,"Severe weather across several Central and Eastern states including Kansas, Missouri, Arkansas, Tennessee and South Carolina. High wind and hail damage was notably clustered across southern Missouri and western to central Tennessee, which were the states with the highest damage totals for the event."
180,South Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-20,2020-05-23,1948.6,1584.0,2.0,3,180,"A combination of thunderstorm high winds, hail and tornadoes affected numerous Southern, Central and Eastern states. The states most affected included Texas, Illinois and North Carolina with damage to homes, businesses and vehicles. Oklahoma, Arkansas, Indiana, Tennessee, Alabama, Georgia, Florida and South Carolina."
181,South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,2020-05-27,1722.0,1400.0,0.0,0,181,"South Texas hail storms cause widespread impact to several cities with golf-ball sized hail damaging many homes, vehicles and businesses. The highest concentration of hail damage occurred across the northern portion of the San Antonio metroplex. There was also significant damage east of San Marcos, southeast of Waco and to the west and south of Bryan and College Station."
182,Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,2020-12-30,5439.1,4495.0,45.0,212,182,"Widespread, continuous drought and record heat affected more than a dozen Western and Central states for much of the summer, fall and into the winter months. Persistent above-average temperatures and precipitation deficits caused D3 (extreme) and D4 (exceptional) drought coverage in December that was the largest extent since August 2012. Death Valley recorded a temperature of 130 degrees F - the highest measured temperature globally in decades - while Los Angeles county recorded a record high of 121 degrees F. There were considerable crop and livestock impacts across the West and Central states from both the persistent heat and increasingly dry conditions. The combined drought and heat also assisted in drying out vegetation across the West that contributed to the Western wildfire potential and severity."
183,Central Severe Weather (July 2020),Severe Storm,2020-07-10,2020-07-11,1459.1,1196.0,0.0,1,183,"Central severe weather producing hundreds of severe hail and high wind reports across numerous states including Nebraska, South Dakota, Minnesota, Kansas, Oklahoma, Iowa, Illinois and Indiana. These storms caused impacts to many homes, vehicles and businesses."
184,Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,1300.8,1075.0,0.0,1,184,"Category 1 Hurricane Hanna made landfall at Padre Island, Texas on July 25 with sustained winds of 90 miles per hour. The impacts from wind, wave action and flooding were most notable in damaging coastal infrastructure and to the agriculture sector. The crop damage was most focused across the Rio Grande Valley in southern Texas."
185,Western Wildfires - California Oregon Washington Firestorms (Fall 2020),Wildfire,2020-08-01,2020-12-30,19904.5,16450.0,46.0,151,185,"A record-breaking U.S. wildfire season burned more than 10.2 million acres. California more than doubled its previous annual record for area burned (last set in 2018) with over 4.1 million acres. Five of the top six largest wildfires on record in California (dating to 1932) burned during August and September. The August Complex was the largest California wildfire, which began as 37 separate wildfires within the Mendocino National Forest, set off after storms caused >10,000 lightning strikes across Northern California. Approximately 10,500 structures were damaged or destroyed across California. Oregon also had historic levels of wildfire damage, as over 2,000 structures burned. These wildfires spread rapidly and destroyed several small towns in California, Oregon and Washington. Colorado also had a severe wildfire season, as its three largest wildfires on record burned during 2020. Dense wildfire smoke also produced hazardous air quality that affected millions of people that also included major cities for weeks. Hundreds of additional wildfires also burned across other Western states."
186,Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,5756.1,4757.0,16.0,1,186,"Hurricane Isaias made landfall in southeastern North Carolina as a category 1 storm. Isaias accelerated up the East Coast, resulting in widespread damage and power outages across New York, New Jersey and Pennsylvania. There was also considerable inland flooding most notably in Pennsylvania. In addition, 34 tornadoes developed across North Carolina, Virginia, Maryland, Delaware and New Jersey due to Isaias. Many tornadoes were weaker (EF-0 and EF-1) producing scattered damage to agriculture, structures and residences. Isaias also produced several EF-2 tornadoes and one EF-3 tornado that caused damage in coastal North Carolina and Virginia."
187,Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,2020-08-10,13452.9,11027.0,4.0,0,187,"A powerful derecho traveled from southeast South Dakota to Ohio, a path of 770 miles in 14 hours producing widespread winds greater than 100 mph. The states most affected included Iowa, Illinois, Minnesota, Indiana and Ohio. This derecho caused widespread damage to millions of acres of corn and soybean crops across central Iowa. There was also severe damage to homes, businesses and vehicles particularly in Cedar Rapids, Iowa. In addition, there were 15 tornadoes across northeastern Illinois several affecting the Chicago metropolitan area. This is the third severe weather event (since 1980) with inflation-adjusted costs over $10.0 ($12.2) billion joining the late-April and May 2011 tornado outbreaks across the Southeastern and Central states, respectively."
188,Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,28090.3,23215.0,42.0,1,188,"Hurricane Laura was a powerful category 4 that made landfall at Cameron Parish, in southwestern Louisiana on August 27. Winds up to 150 mph and storm surge in excess of 15 feet caused heavy damage along the coast and inland to the city of Lake Charles. Many broken water systems and a severely damaged electrical grid in southern Louisiana will slow the recovery process. Laura was the strongest hurricane (by maximum sustained windspeed at landfall) to hit Louisiana since the 1856 Last Island hurricane. Laura also had highest landfall wind speed to impact the U.S. since Hurricane Michael in 2018. There were additional impacts to surrounding states including Texas, Mississippi and Arkansas."
189,Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,8801.5,7274.0,5.0,2,189,"Hurricane Sally was a category 2 hurricane at landfall in Gulf Shores, Alabama. Wind gusts up to 100 mph and 20-30 inches of rainfall caused considerable flood and wind damage across Alabama, the Florida panhandle and into Georgia. Many homes and businesses in downtown Pensacola, FL were impacted from flooding produced by storm surge and heavy rainfall. 2020 is now the fourth consecutive year (2017-2020) that the U.S. has been impacted by a slow moving tropical cyclone that produced extreme rainfall and damaging floods - Harvey, Florence, Imelda and Sally."
190,Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,3469.3,2867.0,5.0,2,190,"Hurricane Delta was a category 2 hurricane that made landfall near Creole, Louisiana with winds of 100 mph on October 9. This was nearly the same location in which category 4 Hurricane Laura made landfall 6 weeks prior. Heavy rainfall, high winds, storm surge, and nearly one dozen EF-0 or EF-1 tornadoes caused damage across several states including Louisiana, eastern Texas, Mississippi and Georgia."
191,Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,5266.0,4352.0,6.0,1,191,"Hurricane Zeta was a category 2 hurricane that made landfall at Cocodrie, Louisiana with maximum sustained winds of 110 mph on October 28th. Zeta's path inland saw an acceleration of its quick landfall speed to nearly 40 mph, which allowed the wind fields to maintain some strength. These wind impacts propagated well inland affecting parts of Louisiana, Alabama, Mississippi, northern Georgia and into the Carolinas. Hurricane Zeta was the fifth tropical cyclone to make landfall in Louisiana during 2020 as part of a historically active Atlantic hurricane season."
192,Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,1766.7,1460.0,12.0,4,192,"Tropical Storm Eta made landfall in the Florida Keys on November 8 followed by a second landfall near Cedar Key on the west coast of Florida on November 10. Eta produced wind and heavy rain impacts in southern Florida. These impacts continued well inland, as Eta's energy merged with a cold front across several eastern states. This combination produced extreme rainfall across North Carolina and Virginia, which led to significant flooding that damaged homes, businesses and infrastructure. This flooding also caused one dozen fatalities."
193,Western Drought and Heat Wave (2021),Drought,2021-01-01,2021-12-31,10201.9,8431.0,229.0,364,193,"Western drought conditions were persistent throughout 2021, as the drought expanded and intensified across many Western states. A historic heat wave also developed for many days across the Pacific Northwest shattering numerous all-time high temperature records across the region. This prolonged heat dome was maximized over the states of Oregon and Washington and extended well into Canada. These extreme temperatures impacted several major cities and millions of people. For example, Portland reached a high of 116 degrees F while Seattle reached 108 degrees F. These extreme temperatures caused hundreds of direct and indirect heat-related fatalities across Oregon and Washington, not including excess mortality that may be hundreds of additional deaths. This combined drought and heat rapidly dried out vegetation across the West, impacting agriculture. Low water levels also forced the hydroelectric power plant at Lake Oroville in California to shut down for the first time since it opened in 1967."
194,California Flooding and Severe Weather (January 2021),Flooding,2021-01-24,2021-01-29,1325.0,1095.0,2.0,5,194,"California was impacted by an atmospheric river in late-January, in which more than 7 inches of rain fell from southern California to the central California coast. Rainfall totals exceeded 15 inches in Monterey and San Luis Obispo counties. These heavy rains caused flooding and mudslides in some of the same areas burned by wildfires in late-2020. This combination caused dozens of slides and debris flows damaging homes, vehicles and businesses and infrastructure. Highway 1 south of Big Sur was washed out while the Sierra Nevada range received several feet of snow, closing major highways. In addition to significant rain and snow, high winds also caused extensive power outages across parts the region."
195,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,2021-02-19,27223.2,22686.0,262.0,9,195,"Historic cold wave and winter storm impacts many northwest, central and eastern states. Temperature departures exceeding 40.0 degrees F (22.2 degrees C) below normal occurred from Nebraska southward to Texas. The prolonged arctic air caused widespread power outages in Texas, as well as other southern states, with multiple days of sustained below-freezing temperatures. At the peak of the outage, nearly 10 million people were without power. Additional impacts were frozen water pipes, which burst upon thawing causing water damage to buildings. These extreme conditions also caused or contributed to the direct and indirect deaths of more than 210 people in Texas alone. This count does not include excess mortality that may be hundreds of additional deaths. There were also snow and ice impacts across numerous states including Oklahoma, Arkansas, Missouri, Illinois, Kentucky, Tennessee, Louisiana, Mississippi, Colorado, Oregon and Washington. This is now the costliest U.S. winter storm event on record, more than doubling the inflation-adjusted cost of the 'Storm of the Century' that occurred in March 1993."
196,Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,1995.8,1677.0,6.0,1,196,"At least 41 tornadoes impact several states including Kentucky, Tennessee, Mississippi, Alabama and Georgia. These included one EF-4, four EF-3s, ten EF-2s and approximately two-dozen EF-1 or EF-0 tornadoes. The strongest of these tornadoes were focused across central Alabama and western Georgia with tracks across the entire width of Alabama. There was widespread damage to homes, businesses, vehicles and infrastructure."
197,Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,2021-03-28,1601.9,1346.0,8.0,1,197,"Severe weather producing hail, high wind and more than two dozen tornadoes impacted numerous states including Arkansas, Alabama, Georgia, Mississippi, South Carolina, North Carolina and Virginia. Tennessee was also affected with significant flooding in Nashville and surrounding areas that damaged businesses, homes and vehicles. There were also many high wind damage reports across Pennsylvania, Maryland and New Jersey."
198,Texas Hail Storms (April 2021),Severe Storm,2021-04-12,2021-04-15,1755.3,1475.0,0.0,3,198,"A series of hail storms impacted central Texas causing damage to many homes, vehicles and businesses. There was considerable hail damage northeast of Austin, west of Georgetown and southwest of The Woodlands."
199,Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-27,2021-04-28,3747.4,3149.0,0.0,1,199,"Severe weather including tornadoes, high wind, localized flooding and large hail cause widespread impacts across central Texas and Oklahoma. There was considerable damage across Texas and Oklahoma to many homes, vehicles and businesses particularly from hail storms. Several of the more impacted areas include west of San Antonio, north of Fort Worth, and southwest of San Marcos."
200,Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,1479.1,1264.0,4.0,2,200,"Tornadoes and severe storms with widespread high wind and large hail cause damage across many Southern and Southeastern states including Mississippi, Texas, Arkansas, Alabama, Georgia, South Carolina, North Carolina, and Tennessee. There were over 111 confirmed tornadoes largely clustered in central Mississippi and surrounding states."
201,Louisiana Flooding (May 2021),Flooding,2021-05-17,2021-05-18,1569.6,1319.0,5.0,1,201,"Torrential rainfall from thunderstorms across Louisiana and coastal Texas caused widespread flooding and resulted in hundreds of water rescues. Baton Rouge and Lake Charles experienced flood damage to thousands of homes, vehicles and businesses, as more than 12 inches of rain fell. Lake Charles also continues to recover from the widespread damage caused by Hurricanes Laura and Delta less than 9 months before this flood event."
202,Western Wildfires (2021),Wildfire,2021-06-01,2021-12-31,12064.0,10400.0,8.0,213,202,"Severe drought conditions and periods of extreme heat provided conditions favorable for another damaging western wildfire season most focused across California, Colorado, Oregon, Washington, Idaho, Montana and Arizona. The Dixie Fire consumed over 960,000 acres making it the second-largest wildfire on record in California while also destroying more than 1,000 structures. California's Caldor Fire grew rapidly during August, threatening South Lake Tahoe communities and burned over 220,000 acres. Other large wildfires included the Ford Corkscrew Fire (Washington), the Bootleg Fire (Oregon), the Boundary Fire (Idaho), the Trail Creek Fire (Montana) and the Telegraph Fire (Arizona), among many others. There was also the Marshall Fire in Boulder County, Colorado on December 30 that damaged or destroyed more than 1,000 homes and businesses. This wildfire is the most destructive on record in Colorado. Throughout the wildfire season air quality was also a concern across numerous states, as ash and fine particulates from wildfires obscured the skies and made outdoor activities more hazardous. Over 7.1 million acres burned nationally during the 2021 wildfire season."
203,Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-17,2021-06-18,1980.1,1707.0,0.0,1,203,"Damaging hail storm and high wind impacts across several states including Ohio, Illinois, Indiana, Michigan, Wisconsin, Minnesota, Iowa and Missouri. The hail impacts were most severe in southeastern Minnesota, southern Iowa, southeastern Indiana and southwestern Ohio, with damage to many homes, vehicles and businesses."
204,Central Severe Storms (June 2021),Severe Storm,2021-06-24,2021-06-26,1453.6,1253.0,0.0,2,204,"A combination of thunderstorm high winds, hail and tornadoes affected numerous Central states. The states most affected included Michigan, Illinois, Indiana, Ohio, Missouri, Kansas and Texas with damage to homes, businesses, vehicles and agriculture."
205,Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,1407.1,1213.0,1.0,2,205,"Tropical Storm Elsa made landfall in Taylor County, Florida producing heavy rain, wind, flooding and tornadoes in portions of Florida, Georgia and the Carolinas, as well as flooding across parts of the Northeast. Southern New England and New York's Long Island experienced flash flooding, leading to impassable roads, stranded vehicles and disruption. Elsa was the earliest fifth-named storm on record."
206,Central Severe Storms (July 2021),Severe Storm,2021-07-08,2021-07-11,1252.8,1080.0,0.0,3,206,"Severe storms caused considerable hail damage across numerous Central states including Missouri, Nebraska, Iowa, South Dakota, North Dakota, New Mexico and Texas. There was also widespread high wind damage to homes, vehicles and businesses in many other surrounding states."
207,North Central Severe Weather (August 2021),Severe Storm,2021-08-10,2021-08-13,1489.5,1284.0,2.0,3,207,"Widespread high wind impacts across numerous North Central states including Illinois, Michigan, Wisconsin, Indiana, Ohio and Missouri. This multi-day event caused damage to infrastructure, homes, vehicles and businesses."
208,Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,1481.3,1277.0,7.0,2,208,"Tropical Storm Fred made landfall near Panama City, Florida. As Fred progressed northward it caused torrential flooding across the southern Appalachian Mountains with more than a foot of rainfall reported in some locations of western North Carolina. This flash flooding caused damage to many homes, businesses, vehicles, roads and bridges, in additional to several fatalities. Fred also produced nearly a dozen tornadoes across the Northeast as it moved up the East Coast."
209,Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,84608.1,73572.0,96.0,3,209,"Category 4 Hurricane Ida made landfall near Port Fourchon, Louisiana with maximum sustained winds of 150 mph (240km/h) and a minimum central pressure of 930 mb. Ida was one of three hurricanes in recorded history to make landfall in Louisiana with 150 mph winds, along with Hurricane Laura in 2020 and the 'Last Island' hurricane of 1856. Grand Isle, Louisiana took a direct hit with 100% of its homes damaged and nearly 40% were nearly-to-completely destroyed. There was heavy damage to the energy infrastructure across southern Louisiana causing widespread, long duration power outages to millions of people. Parts of New Orleans were without power for nearly a week due to the widespread damage. As the remnants of Ida moved into the Northeast it merged with a frontal system creating severe weather and flash flooding across a wide region from eastern Pennsylvania to New York. Flash flood emergencies were declared in New Jersey and New York for the first time, producing damage to homes, businesses, vehicles and infrastructure while also causing dozens of fatalities."
210,Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,1168.5,1016.0,0.0,4,210,"Category 1 Hurricane Nicholas made landfall near Sargent Beach, Texas on September 14 and moved slowly toward Louisiana over the next several days. This slow progression helped to produce flooding rainfall across regions of the Gulf Coast that were already saturated from Hurricane Ida."
211,Southeast Central Tornado Outbreak (December 2021),Severe Storm,2021-12-10,2021-12-10,4463.1,3915.0,93.0,0,211,"Historic December tornado outbreak across several southeast and central states caused devastating damage across many towns and cities. This outbreak produced two long-tracked EF-4 tornadoes across Arkansas, Missouri, Tennessee and Kentucky. The longest tornado track was nearly 166 miles across Kentucky and a small portion of Tennessee. This was the longest-tracked tornado on record in Kentucky and was a U.S. record tornado track length for the month of December. There were over 800 total miles of tornado path length on December 10. The peak intensity from this outbreak was EF-4 rated wind speeds of 190 mph in Mayfield, Kentucky. This day was also the deadliest December tornado outbreak recorded in the United States surpassing the Vicksburg, Mississippi tornado of December 5, 1953, which caused 38 fatalities."
212,Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,2021-12-15,2031.5,1782.0,1.0,0,212,"A rare, record-breaking December derecho and tornado outbreak caused widespread damage that was focused across Kansas, Nebraska, Iowa, Minnesota and Wisconsin. There were many reports of hurricane-force thunderstorm wind gusts and more than 50 tornadoes causing widespread damage to homes, vehicles, businesses and infrastructure. This was the first December derecho on record to occur within the United States. This event also produced the first December tornado on record in Minnesota since 1950, with 17 tornadoes reported across southeast Minnesota."
213,Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,2022-12-31,23480.6,20965.0,136.0,364,213,"Severe drought conditions impacted many Western and Central states. Large reservoirs across the West including Lake Mead, Lake Powell, Lake Oroville, and Shasta Lake, among others continue to be depleted. Lake Mead, the Nation's largest reservoir, is nearing dead pool status and is at the lowest level since it was filled in the 1930s. The Great Salt Lake is also near record-low levels. The impacts of the drought affected crop production across may states and sharply increased feeding costs for livestock. Many segments of the Mississippi River also experienced low water levels causing delays and reductions in river commerce. Extreme heat also developed for many days across Western and Central states. These excess heat conditions caused more than one hundred heat-related fatalities focused across Arizona, Nevada, California, Oregon and Texas. The 2022 drought was one of the costlier droughts on record, with a diverse array of direct impacts across different regions and industries."
214,Texas Hail Storms (February 2022),Severe Storm,2022-02-21,2022-02-22,1118.9,1008.0,0.0,1,214,"Overnight hail storms impacted numerous counties across north central Texas. In particular, the counties of Denton, Collin and Wise were impacted by ping pong to golf ball sized hail causing damage to homes, vehicles and businesses."
215,Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,2022-03-30,1381.6,1256.0,2.0,0,215,"An outbreak of 83 tornadoes was focused across the Gulf Coast states including Louisiana, Mississippi, Alabama, and Florida."
216,Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,2022-11-30,3296.6,3110.0,17.0,243,216,"Severe drought conditions and periods of extreme heat provided conditions favorable for another damaging western wildfire season most focused across New Mexico, Oregon, Idaho, Montana, California and Alaska. The Calf Canyon and Hermits Peak Fires in New Mexico merged in April consuming over 340,000 acres. This became the largest and most destructive wildfire on record in New Mexico - damaging or destroying over 1,000 structures. Other large wildfires included the Double Creek Fire (Oregon), the Moose Fire (Idaho), the Mosquito Fire (California), the Trail Creek Fire (Montana) and the Lime Complex Fire (Alaska), among many others. Over 7.5 million acres burned nationally during the 2022 wildfire season."
217,Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,1544.8,1417.0,3.0,2,217,"A tornado outbreak on April 4-6 with a combined 100 preliminary tornadoes reported. The tornadoes occurred across Texas, Louisiana, Mississippi, Alabama, Georgia, Florida and South Carolina. Many of these tornadoes were clustered along the southern regions of Mississippi, Alabama, Georgia and South Carolina. During this three-day period many of these tornadoes were rated as either EF-1 or EF-0, but there were also nine EF-2, three EF-3 and one EF-4 tornado. This EF-4 occurred in Pembroke, Georgia on April 5th with winds of 185 mph that destroyed several neighborhoods. Many of the other tornadoes across the South caused considerable damage to homes, businesses, vehicles, and other infrastructure."
218,Southern Severe Weather (April 2022),Severe Storm,2022-04-11,2022-04-13,2915.7,2675.0,1.0,2,218,"Severe weather including hundreds of damaging wind reports and dozens of tornadoes occurred across    Arkansas, Louisiana, Mississippi, Alabama, Texas, Tennessee and Kentucky. On April 11, tornadoes and damaging hail was focused across central Arkansas causing damage to homes, vehicles, outbuildings and farms and vegetation. April 12 and 13 produced widespread high wind reports and dozens of tornadoes across central Mississippi, northeast Arkansas and west-central Kentucky. These tornadoes produced damage to homes, businesses, farms, outbuildings and other infrastructure. There was also considerable hail damage across Wisconsin and Minnesota."
219,Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-01,2022-05-03,1230.1,1139.0,1.0,2,219,"Severe weather producing high winds and large, damaging hail impacted several Southern and Central states including Texas, Oklahoma, Ohio and Pennsylvania. Many homes, businesses, vehicles and agriculture assets were damaged."
